Date,Store_ID,Item_ID,Sales,Promotion,Holiday,Region,Temperature,Fuel_Price
2023-01-01,1,101,47,No,No,North,30,3.83
2023-01-01,1,102,68,No,Yes,North,27,2.51
2023-01-01,1,103,98,Yes,No,East,31,3.97
2023-01-01,1,104,90,Yes,Yes,North,24,4.39
2023-01-01,1,105,46,No,No,South,30,2.85
2023-01-01,2,101,55,Yes,Yes,North,32,3.64
2023-01-01,2,102,59,Yes,Yes,West,38,3.77
2023-01-01,2,103,22,No,No,South,24,4.11
2023-01-01,2,104,62,Yes,No,South,28,3.79
2023-01-01,2,105,33,Yes,Yes,East,28,2.96
2023-01-01,3,101,62,No,No,South,22,3.2
2023-01-01,3,102,24,No,No,East,22,3.91
2023-01-01,3,103,65,No,Yes,South,33,3.71
2023-01-01,3,104,79,Yes,Yes,South,25,2.75
2023-01-01,3,105,30,No,Yes,East,28,3.29
2023-01-01,4,101,27,No,Yes,North,20,3.41
2023-01-01,4,102,88,No,No,East,25,4.33
2023-01-01,4,103,39,Yes,No,North,20,4.35
2023-01-01,4,104,80,No,Yes,South,28,3.84
2023-01-01,4,105,60,No,No,North,23,4.35
2023-01-01,5,101,71,Yes,Yes,East,31,3.65
2023-01-01,5,102,36,No,No,South,40,2.7
2023-01-01,5,103,37,No,No,East,40,3.08
2023-01-01,5,104,65,Yes,No,South,27,3.16
2023-01-01,5,105,45,Yes,No,East,28,3.91
2023-01-02,1,101,61,Yes,Yes,South,34,3.89
2023-01-02,1,102,33,Yes,No,South,21,2.56
2023-01-02,1,103,37,Yes,Yes,South,25,2.76
2023-01-02,1,104,71,No,Yes,East,26,3.48
2023-01-02,1,105,53,Yes,No,North,34,3.06
2023-01-02,2,101,76,No,No,South,23,2.88
2023-01-02,2,102,56,No,No,West,38,3.51
2023-01-02,2,103,85,No,No,North,39,2.64
2023-01-02,2,104,89,Yes,Yes,South,27,4.16
2023-01-02,2,105,53,No,Yes,East,33,3.12
2023-01-02,3,101,68,No,Yes,North,32,3.6
2023-01-02,3,102,92,Yes,No,East,27,3.16
2023-01-02,3,103,95,No,Yes,North,33,4.43
2023-01-02,3,104,69,Yes,No,East,38,3.37
2023-01-02,3,105,100,Yes,Yes,South,34,3.52
2023-01-02,4,101,39,No,No,West,29,3.04
2023-01-02,4,102,95,Yes,Yes,West,29,3.85
2023-01-02,4,103,35,Yes,No,South,32,3.58
2023-01-02,4,104,58,Yes,No,West,36,2.84
2023-01-02,4,105,88,Yes,No,South,25,3.81
2023-01-02,5,101,26,No,No,North,24,3.6
2023-01-02,5,102,78,No,Yes,North,21,2.75
2023-01-02,5,103,98,No,No,South,24,3.53
2023-01-02,5,104,79,No,Yes,East,30,3.35
2023-01-02,5,105,75,Yes,Yes,East,37,3.6
2023-01-03,1,101,96,Yes,Yes,East,22,3.66
2023-01-03,1,102,91,Yes,No,North,35,4.28
2023-01-03,1,103,95,No,No,South,27,2.9
2023-01-03,1,104,83,Yes,No,West,29,4.34
2023-01-03,1,105,72,No,No,East,31,3.71
2023-01-03,2,101,72,No,Yes,South,31,3.11
2023-01-03,2,102,50,Yes,Yes,East,22,3.57
2023-01-03,2,103,98,Yes,Yes,East,26,3.12
2023-01-03,2,104,51,No,Yes,West,29,2.81
2023-01-03,2,105,58,No,No,South,38,2.97
2023-01-03,3,101,94,Yes,Yes,North,32,3.7
2023-01-03,3,102,98,Yes,No,East,21,3.17
2023-01-03,3,103,96,Yes,Yes,North,28,2.86
2023-01-03,3,104,46,No,Yes,West,27,4.41
2023-01-03,3,105,40,Yes,Yes,South,40,2.54
2023-01-03,4,101,60,No,Yes,North,34,4.3
2023-01-03,4,102,97,No,Yes,North,33,2.99
2023-01-03,4,103,77,No,Yes,South,21,4.04
2023-01-03,4,104,40,Yes,No,West,26,3.6
2023-01-03,4,105,92,Yes,Yes,South,30,3.3
2023-01-03,5,101,100,Yes,No,West,40,3.84
2023-01-03,5,102,31,No,Yes,West,26,2.54
2023-01-03,5,103,29,No,Yes,East,30,2.72
2023-01-03,5,104,85,No,No,North,35,2.77
2023-01-03,5,105,99,Yes,Yes,North,40,3.49
2023-01-04,1,101,75,Yes,No,North,32,3.68
2023-01-04,1,102,86,No,Yes,South,39,3.31
2023-01-04,1,103,40,Yes,Yes,North,24,4.08
2023-01-04,1,104,35,Yes,No,West,23,2.58
2023-01-04,1,105,89,No,No,South,27,3.62
2023-01-04,2,101,61,No,No,South,23,2.86
2023-01-04,2,102,65,No,Yes,West,34,4.22
2023-01-04,2,103,29,No,No,West,20,4.49
2023-01-04,2,104,63,Yes,No,East,38,2.71
2023-01-04,2,105,38,No,Yes,West,22,2.53
2023-01-04,3,101,46,No,No,East,26,4.04
2023-01-04,3,102,45,No,No,West,21,2.52
2023-01-04,3,103,93,No,Yes,East,27,4.08
2023-01-04,3,104,89,Yes,No,West,21,3.12
2023-01-04,3,105,60,No,Yes,West,31,4.33
2023-01-04,4,101,33,No,No,East,24,4.27
2023-01-04,4,102,99,Yes,No,East,23,3.25
2023-01-04,4,103,48,Yes,No,West,20,3.03
2023-01-04,4,104,46,No,No,North,27,3.05
2023-01-04,4,105,44,Yes,No,North,32,3.21
2023-01-04,5,101,81,Yes,No,East,40,3.51
